month,year,avg_energy_price,avg_gasoline_price,avg_natural_gas_price
january,2017,31.857,1.2213,3.2995
february,2017,32.357,1.2309,2.9055
march,2017,31.537,1.2315,2.9926
april,2017,32.162,1.2406,3.1910
may,2017,33.067,1.2777,3.2369
june,2017,34.902,1.2899,2.9950
july,2017,36.920,1.3083,2.9580
august,2017,38.976,1.3395,2.9039
september,2017,42.616,1.3764,3.0080
october,2017,43.248,1.3780,2.9150
november,2017,44.248,1.4077,3.0518
december,2017,44.130,1.4163,2.7719
january,2018,44.642,1.4739,3.1609
february,2018,43.048,1.5055,2.6640
march,2018,44.082,1.4833,2.7052
april,2018,47.455,1.4970,2.7266
may,2018,49.739,1.4869,2.8352
june,2018,50.237,1.5107,2.9461
july,2018,53.376,1.5033,2.7922
august,2018,55.817,1.4972,2.9091
september,2018,64.266,1.5262,2.8915
october,2018,63.452,1.5006,3.2143
november,2018,60.906,1.4676,4.0918
december,2018,63.097,1.4223,3.9240
january,2019,58.270,1.3836,3.1122
february,2019,55.444,1.3438,2.6873
march,2019,55.564,1.3525,2.8028
april,2019,58.051,1.4161,2.6014
may,2019,57.054,1.4454,2.5913
june,2019,56.832,1.4719,2.3325
july,2019,60.228,1.4483,2.3004
august,2019,57.420,1.4115,2.1731
september,2019,56.991,1.3846,2.5100
october,2019,55.661,1.3952,2.3400
november,2019,54.039,1.3938,2.6280
december,2019,51.397,1.3952,2.2923
january,2020,51.405,1.4205,2.0274
february,2020,49.087,1.3849,1.8558
march,2020,46.625,1.2584,1.7585
april,2020,46.003,1.0732,1.7997
may,2020,45.330,1.0382,1.8392
june,2020,49.241,1.1265,1.7147
july,2020,52.127,1.2033,1.7773
august,2020,52.084,1.2651,2.3762
september,2020,52.451,1.2270,2.5243
october,2020,49.924,1.2087,2.9103
november,2020,49.531,1.2445,2.8976
december,2020,58.257,1.2916,2.5878
january,2021,63.534,1.3057,2.6414
february,2021,65.185,1.3418,2.9100
march,2021,66.957,1.3849,2.6315
april,2021,71.258,1.4495,2.6974
may,2021,80.959,1.5142,2.9786
june,2021,83.360,1.5331,3.2811
july,2021,88.146,1.5448,3.8048
august,2021,99.071,1.5604,4.0411
september,2021,123.82,1.5704,5.1078
october,2021,149.98,1.6199,5.5984
november,2021,143.81,1.6668,5.1512
december,2021,238.16,1.6323,3.8459
january,2022,145.73,1.6674,4.1340
february,2022,164.49,1.7245,4.4782
march,2022,187.10,1.9464,4.9772
april,2022,214.68,1.9054,6.7753
may,2022,239.92,1.9182,8.1694
june,2022,261.98,2.0195,7.5709
july,2022,353.61,1.9516,7.0963
august,2022,541.39,1.7149,8.7705
september,2022,487.53,1.5767,7.8527
october,2022,392.53,1.6652,6.1939
november,2022,346.67,1.7302,6.5922
december,2022,331.30,1.6169,5.7334
january,2023,197.35,1.6441,3.4429
february,2023,175.35,1.7003,2.4691
march,2023,149.29,1.6786,2.4463
april,2023,161.10,1.7564,2.2274
may,2023,150.59,1.6911,2.3395
june,2023,150.19,1.6982,2.4959
july,2023,156.26,1.7325,2.6531
august,2023,152.26,1.7791,2.6613
september,2023,138.98,1.7623,2.7372
october,2023,135.79,1.7049,3.2283
november,2023,125.17,1.6882,3.0690
